cnpj_raiz;razao_social_ibama;uf;ultimo_rapp;escopo;detalhe_declarado
33710358;"PROBEAUTY INDUSTRIA E COMERCIO DE COSMETICOS LTDA";SAO PAULO;2022;fora;"Fabricação de perfumarias e cosméticos"
33009945;"PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S/A";RIO DE JANEIRO;2024;fora;"Fabricação de produtos farmacêuticos e veterinários"
03127661;"PROF NR COSMETICOS NATURAIS LTDA - EPP";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
64988678;"PROLAB IND E COM DE COSMETICOS LTDA";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
02946060;"PROLINE INDÚSTRIA E COMÉRCIO LTDA";PARANA;2025;fora;"Fabricação de perfumarias e cosméticos"
00433082;"PROM DO BRASIL LTDA";SAO PAULO;2024;fora;"Fabricação de perfumarias e cosméticos"
43866094;"PROMAG INDÚSTRIA E COMÉRCIO LTDA";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
24176014;"PROSCIENCE BEAUTY LTDA EPP";RIO DE JANEIRO;2022;fora;"Fabricação de perfumarias e cosméticos"
05119197;"PROTEGE IND & COM DE COSMETICOS LTDA";ESPIRITO SANTO;2025;fora;"Fabricação de perfumarias e cosméticos"
11501305;"PROTTA INDUSTRIA, IMPORTACAO E EXPORTACAO DE COSMETICOS ATIVOS EIRELLI - ME";SAO PAULO;2024;fora;"Fabricação de perfumarias e cosméticos"
02828787;"PSO INDUSTRIA EIRELI";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
54439202;"PURE NATURE COSMETICOS LTDA";GOIAS;2025;fora;"Fabricação de perfumarias e cosméticos"
12472927;"QUALYBLESS DO BRASIL LTDA";PARANA;2025;fora;"Fabricação de perfumarias e cosméticos"
65392797;"QUIMICA FUTURO INDUSTRIA E COMERCIO LTDA";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
69216620;"QUINOVA LTDA - ME";SAO PAULO;2022;fora;"Fabricação de perfumarias e cosméticos"
09240065;"R2 SOLUÇÕES EM RADIOFARMÁCIA LTDA.";RIO GRANDE DO SUL;2024;fora;"Fabricação de produtos farmacêuticos e veterinários"
24475141;"R2M DO BRASIL INDUSTRIA DE COSMÉTICOS LTDA";SANTA CATARINA;2024;fora;"Fabricação de perfumarias e cosméticos"
00099817;"RABBIT IND. COM. PRODUTOS HIGIENE PESSOAL LTDA.";PARANA;2025;fora;"Fabricação de perfumarias e cosméticos"
28434418;"RAILUZ INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA ANIMAIS LTDA";SAO PAULO;2024;fora;"Fabricação de perfumarias e cosméticos | Fabricação de produtos farmacêuticos e veterinários"
14336744;"RAIZ LATINA COSMETICOS EIRELI";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
14464980;"RAWA INDUSTRIA E COMERCIO DE COSMÉTICOS EIRELI";SAO PAULO;2024;fora;"Fabricação de perfumarias e cosméticos"
04745002;"RECANTO INDUSTRIA E COMÉRCIO DE FRALDAS E ABSORVENTES LTDA";RIO GRANDE DO SUL;2025;fora;"Fabricação de perfumarias e cosméticos"
15700380;"REGENERA - MEDICINA VETERINARIA AVANÇADA LTDA";SAO PAULO;2022;fora;"Fabricação de produtos farmacêuticos e veterinários"
47334701;"REM INDUSTRIA E COMERCIO LTDA";SAO PAULO;2024;fora;"Fabricação de produtos farmacêuticos e veterinários"
00562583;"RENYLAB QUÍMICA R FARMACÊUTICA LTDA";MINAS GERAIS;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
55195754;"REVITAL INDUSTRIA E COMERCIO DE PRODUTOS NATURAIS LTDA";SAO PAULO;2024;fora;"Fabricação de perfumarias e cosméticos"
05392347;"RH COSMÉTICOS LTDA";SAO PAULO;2022;fora;"Fabricação de perfumarias e cosméticos"
04218431;"RICOSTI COSMÉTICOS INDUSTRIA E COMERCIO LTDA EPP";SAO PAULO;2024;fora;"Fabricação de perfumarias e cosméticos"
41738591;"RIO BIOFARMA BRASIL LTDA";SAO PAULO;2024;fora;"Fabricação de produtos farmacêuticos e veterinários"
10325833;"RIQUEZAS DA TERRA IND COM COSMETICOS, PERFUMES E PRODUTOS DE HIGIENE PESSOAL LTDA";MINAS GERAIS;2023;fora;"Fabricação de perfumarias e cosméticos"
